case_id,split_candidate,category_id,category_name,extra_requirement,is_substitutable,proposed_expected_status,proposed_expected_mode,proposed_expected_constraints,proposed_expected_preference_groups,scenario_type,grounding_source,generation_reason,candidate_origin,source_reference,existing_test_case_id,parser_exposure,evaluation_partition_candidate,reviewer_status,corrected_expected_status,corrected_expected_mode,corrected_expected_constraints,corrected_expected_preference_groups,proposed_expected_effective_requirement_mode,corrected_expected_effective_requirement_mode,proposed_expected_passthrough_text,corrected_expected_passthrough_text,reviewer_note,expected_effective_requirement_mode,expected_passthrough_text
part-a-v2-2-190,CHALLENGE,health-functional-food:omega_fatty_acid,오메가·지방산,지금은 특정 조건을 하나로 정하기 어려워요.,true,REVIEW,NONE,[],[],REVIEW_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-191,CHALLENGE,health-functional-food:other_functional,기타 기능성 건강식품,반드시 캡슐 제품이면 좋겠어요.,false,NOT_APPLICABLE,NONE,[],[],NOT_APPLICABLE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-192,CHALLENGE,health-functional-food:probiotics,유산균·프로바이오틱스,분말은 제외해주세요.,false,NOT_APPLICABLE,NONE,[],[],NOT_APPLICABLE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-193,CHALLENGE,health-functional-food:propolis,프로폴리스,가능하면 정 형태가 좋겠어요.,false,NOT_APPLICABLE,NONE,[],[],NOT_APPLICABLE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-194,CHALLENGE,health-functional-food:protein,단백질,하루 한 번 먹는 제품이면 좋겠어요.,false,NOT_APPLICABLE,NONE,[],[],NOT_APPLICABLE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-195,CHALLENGE,health-functional-food:red_ginseng,홍삼·인삼,캡슐 또는 분말 조건을 참고해 주세요.,false,NOT_APPLICABLE,NONE,[],[],NOT_APPLICABLE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-196,CHALLENGE,health-functional-food:skin_collagen,피부·콜라겐,,true,NONE,NONE,[],[],NONE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-197,CHALLENGE,health-functional-food:theanine_sleep,테아닌·수면,,true,NONE,NONE,[],[],NONE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-198,CHALLENGE,health-functional-food:vitamin_mineral,비타민·미네랄,,true,NONE,NONE,[],[],NONE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-199,CHALLENGE,health-functional-food:blood_sugar_metabolic,혈당·대사,,true,NONE,NONE,[],[],NONE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-200,CHALLENGE,health-functional-food:dietary_fiber,식이섬유·체중관리,,true,NONE,NONE,[],[],NONE_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
